Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class,energy_instrumental_ratio
37.0,0.334,-0.6762181389094886,9.0,0.1532836712315236,0,26.246030287918952,0.7230426792525689,0.0039123368199156,-0.5986267447657266,0.235,1.0144643615843387,452.7107244146089,4,9,-172.7983483221035
67.0,0.725,0.2560621323963202,11.0,0.5231453948853027,1,11.415394801429208,0.3007389192409949,0.0457378916738537,-0.6297896732908114,0.38,0.4255604365858156,438.1278352262043,4,6,5.598345806500952
44.0,0.584,0.5501852133306414,7.0,0.3321910972627191,1,16.15482787030904,0.098921748864974,0.1395630405441286,1.055407743436196,0.635,1.2264561356984245,401.2941564488573,4,10,3.942170283875372
12.0,0.515,-1.433464455063503,-1.0,-1.5726818306021328,1,32.05025479952565,0.967986043557175,0.0210763256019162,1.134826501285146,0.501,1.563116259586366,545.9789373226773,3,2,-68.00978843981906
48.0,0.565,0.4085166352318625,6.0,0.6913212370731892,0,4.01604812832077,0.5677411370845432,0.0039123368199156,0.5831919521468736,0.619,-1.217968159614217,504.1279599466786,4,5,104.39086999944797
38.0,0.657,0.598358476519399,7.0,-0.1969927868699059,1,4.629608196258351,0.2027941161261845,0.0480279690105815,0.5590649260629895,0.589,-1.4967964140304053,468.6011096871197,4,10,12.458282758215603
11.0,0.658,-1.055018821132449,1.0,-1.2451225115984337,0,33.332222259258025,0.8504034993146383,0.1395630405441286,-0.8564966778223648,0.528,0.3976289986385591,263.51261535540914,5,0,-7.55938862918535
45.0,0.441,1.6720861602535344,7.0,1.7214453238155392,1,4.18408291178698,0.041697754577013,0.0001469891965587,1.4476100109860173,0.0478,0.6442327100536025,461.6546328154847,4,8,11298.70422392827
38.0,0.446,0.6145225900439427,9.0,-0.6617553916067452,1,13.054659860837326,0.6825624196557115,0.0039123368199156,1.3010582735962972,0.718,1.8496457319515167,406.5624183320441,4,10,157.03288991546512
58.0,0.852,-0.68008067307525,7.0,0.3842585635926296,0,11.1605897255611,0.7600138501631069,8.179665456243662e-05,0.8348395538270259,0.483,-0.6188487800343885,452.831094338717,4,5,-8213.866570688602
68.0,0.551,0.6633352335493301,5.0,0.2838373157325173,0,22.726756210086137,0.533680329744389,6.199980780079442e-06,-0.6949809621674711,0.933,1.3606198857312992,263.51261535540914,4,4,92130.13948379057
51.0,0.856,-0.3974101096843373,6.0,-0.1507894173531468,0,20.83289931459761,0.2723435681568877,0.1395630405441286,-1.306652767280584,0.6,0.1343008494887724,426.5383921758978,4,6,-2.847510778098178
57.0,0.279,0.5608490966972072,6.0,0.8442095938950507,0,22.32093033637642,0.1708835201877376,0.0125212805536717,-0.4488373944044121,0.132,0.9287294943645742,645.4795884551396,3,8,44.788095450613326
19.0,0.751,-0.3163008775324659,7.0,1.4773672855503248,1,19.267451494190865,0.0489097324650874,0.0550562057480784,1.1582090603923103,0.71,0.1961509327897957,528.5451730930857,4,6,-5.744949697951305
70.0,0.571,-0.3421200560566577,10.0,0.7422748277509896,1,22.471405136963217,0.5277632087904076,0.0039123368199156,0.0950462950546886,0.288,0.5857615356410346,263.51261535540914,4,4,-87.42412723473066
47.0,0.91,-0.5859886532371937,1.0,-0.8995299385560397,1,11.415394801429208,0.2736851837399214,0.1395630405441286,-0.6455267265114109,0.412,-0.2112169849021983,392.0255093740712,4,9,-4.198707997794823
25.0,0.529,0.1524022438463791,5.0,0.8905090793083444,1,11.013094569443068,0.3492500950924507,0.1395630405441286,-1.3310586269825164,0.36,0.332976981529017,533.9232154533084,4,6,1.0919879021286374
61.0,0.365,1.0420372913335312,4.0,-0.2436600112953306,0,12.722484446762763,0.0321077099650064,0.0905716981843869,1.9619057790698653,0.176,0.5268066548143187,568.6589487557546,4,10,11.504982320524041
10.0,0.232,1.0596348384629075,2.0,1.7816692357402393,1,19.34198564824665,0.8706587691173612,0.0039123368199156,-0.3358859172088836,0.343,1.640296152572363,263.51261535540914,4,0,270.7752711369631
4.0,0.525,-1.1728363462686533,6.0,-0.5545521806190155,1,12.970000389100012,0.8789346612214963,0.0012492194004319,0.7047591445301543,0.889,0.1523339656285014,263.51261535540914,4,3,-938.1044206028846
50.0,0.417,1.4421687020937497,5.0,1.3527910709762574,0,8.196654125785855,0.1809008339302054,0.000254967493026,-0.5375239794774405,0.176,0.3297101487841835,459.45184731373104,4,8,5634.18692367808
62.0,0.374,1.1068338390322667,10.0,0.9385716434651256,1,12.121065199209706,0.0908560296416069,5.849982888816733e-06,0.8218242326766104,0.429,-0.3885326452858673,512.9132480254336,3,10,161581.98596952428
28.0,0.432,-0.4766274517476211,7.0,-0.1306778220440632,1,36.09977979134327,0.7576984851675099,4.859988190238263e-06,-0.0778789132900194,0.193,-1.5018694727083175,457.98034892340087,4,9,-81335.90653674027
51.0,0.649,1.1723814432166342,9.0,0.2973193158067724,1,21.9775389551878,0.1789444393377172,0.0001649863889971,-0.6982066949155907,0.739,0.6195150623163516,457.995633166955,4,10,7063.117947804246
62.0,0.504,-0.4309940856009095,10.0,0.2848212735894889,1,9.99990000099999,0.5905940583624489,0.0039123368199156,-0.776928388883659,0.557,-0.0713622241854932,480.0926993821089,4,10,-110.13467673099626
62.0,0.419,1.2812724857792333,1.0,1.3527910709762574,0,9.433873265346554,0.1195818781430348,0.0039123368199156,-0.1644216317926689,0.445,1.4949863829812748,517.6871642217914,4,8,327.41175746964376
14.0,0.488,-0.4807448004308329,1.0,-0.4702968876726124,1,27.39650968466617,0.7931710391518467,0.0218593343528935,-0.5224986699754086,0.204,0.5047706082059786,442.6319012452672,4,6,-21.991649014608967
21.0,0.176,1.1305822054810315,5.0,0.0761960381798138,0,7.042203928141352,0.1169607095285146,0.0266419309464211,-0.6455267265114109,0.182,-0.6657393022547275,530.0566007512782,5,8,42.434603300764124
36.0,0.474,1.3488208261497496,7.0,2.374563392093201,0,17.33072217119287,0.0330192724889462,0.0001139935024938,1.390355158640753,0.423,-0.6021585725809786,450.07443828771255,4,10,11729.539468740617
38.0,0.452,1.1783777078891455,11.0,1.237263905068647,1,28.16822061350385,0.0211865465847813,0.0001879823302145,-1.2110131666913166,0.522,-0.5428242717023455,480.2634693582263,3,8,6235.385639237569
